Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored,Total_Injuries
A.J. Brown,22.0,2019,WR,TEN,16.0,11.0,,,,,,3.0,60.0,1.0,84.0,52.0,1051.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,214.0,,403.0,103.0,215.1,163.1,0.0
A.J. McCarron,29.0,2019,QB,HOU,2.0,1.0,37.0,21.0,225.0,0.0,1.0,5.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,446.0,40.0,16.9,16.9,0.0
Aaron Jones,25.0,2019,RB,GNB,16.0,16.0,,,,,,236.0,1084.0,16.0,68.0,49.0,474.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,36.0,31.0,32.3,15.0,312.8,263.8,0.0
Aaron Rodgers,36.0,2019,QB,GNB,16.0,16.0,569.0,353.0,4002.0,26.0,4.0,46.0,183.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,43.0,,42.0,55.0,50.5,3.0,274.38,274.38,0.0
Adam Humphries,26.0,2019,WR,TEN,12.0,3.0,,,,,,1.0,1.0,0.0,47.0,37.0,374.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,208.0,181.0,187.2,57.0,84.5,47.5,6.0
Adam Shaheen,25.0,2019,TE,CHI,8.0,2.0,,,,,,0.0,0.0,0.0,13.0,9.0,74.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,,361.0,40.0,14.4,5.4,3.0
Adam Thielen,29.0,2019,WR,MIN,10.0,10.0,,,,,,4.0,6.0,1.0,48.0,30.0,418.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,24.0,23.0,25.0,10.0,114.4,84.4,5.0
Adam Vinatieri,47.0,2019,K,IND,12.0,0.0,,,,,,,,,,,,,,13.0,12.0,7.0,3.0,5.0,2.0,25.0,17.0,28.0,22.0,,,,,,,,,,,,,,,,,,,,,,197.0,,94.0,256.0,208.8,11.0,60.0,60.0,1.0
Adrian Peterson,34.0,2019,RB,WAS,15.0,15.0,,,,,,211.0,898.0,5.0,23.0,17.0,142.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,154.0,140.0,145.5,48.0,145.0,128.0,0.0
Albert Wilson,27.0,2019,WR,MIA,13.0,4.0,2.0,1.0,20.0,0.0,0.0,5.0,45.0,0.0,62.0,43.0,351.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,247.0,158.0,208.8,63.0,89.4,46.4,2.0
