season,player_name,injuries
2024,Dameon Pierce,['Hamstring']
2024,Nick McCloud,['Knee']
2024,Khalen Saunders,['Calf']
2024,Landon Young,['Foot']
2024,Ifeatu Melifonwu,['Ankle']
2024,Ennis Rakestraw Jr.,['Hamstring']
2024,A.J. Brown,['Hamstring']
2024,C.J. Gardner-Johnson,['Foot']
2024,Deebo Samuel,['Calf']
2024,George Kittle,['Hamstring']
2024,Clelin Ferrell,['Knee']
2024,Jordan Addison,['Ankle']
2024,Dallas Turner,['Knee']
2024,Ivan Pace Jr.,['Quad']
2024,David Onyemata,['NIR - Rest']
2024,Grady Jarrett,['NIR - Rest']
2024,Zacch Pickens,['Groin']
2024,Stephen Carlson,['Collarbone']
2024,Terell Smith,['Hip']
2024,Michael Jordan,['Ankle']
2024,Vederian Lowe,['Knee']
2024,Alex Austin,['Ankle']
2024,Mike Evans,['Knee']
2024,Calijah Kancey,['Calf']
2024,Antoine Winfield Jr.,['Foot']
2024,Lavonte David,['Rest']
2024,Evan Engram,['Hamstring']
2024,Arik Armstead,['NIR-Rest']
2024,Foyesade Oluokun,['Foot']
2024,Clelin Ferrell,['Knee']
2024,Jamison Crowder,['Calf']
2024,Austin Ekeler,['Concussion']
2024,Zach Ertz,['Rest']
2024,Terron Armstead,['Concussion']
2024,Calais Campbell,['Rest']
2024,Kendall Fuller,['Concussion']
2024,David Long Jr.,['Hamstring']
2024,Ifeatu Melifonwu,['Ankle']
2024,Frank Ragnow,['Pectoral']
2024,B.J. Hill,['Hamstring']
2024,Sheldon Rankins,['Hamstring']
2024,Daijahn Anthony,['Illness']
2024,Trent Brown,['Knee']
2024,Joe Alt,['Knee']
2024,Joey Bosa,['Hip']
2024,Junior Colson,['Hamstring']
2024,Derius Davis,['Hamstring']
2024,Ja'Sir Taylor,['Fibula']
2024,Rashawn Slater,['Pectoral']
2024,Grady Jarrett,['NIR-Rest']
2024,Jake Matthews,['NIR - Personal']
2024,Tyler Allgeier,['NIR-Rest']
2024,Devin White,['NIR - Personal']
2024,DeVonta Smith,['Concussion']
2024,JL Skinner,['Ankle']
2024,Jack Conklin,['Hamstring']
2024,David Njoku,['Ankle']
2024,Pierre Strong Jr.,['Hamstring']
2024,Jedrick Wills Jr.,['Knee']
2024,Markquese Bell,['Ankle']
2024,Caelen Carson,['Shoulder']
2024,C.J. Goodwin,['NIR']
2024,Boye Mafe,['Knee']
2024,Byron Murphy II,['Hamstring']
2024,Leonard Williams,['Ribs']
2024,Kenny Moore II,['Hip']
2024,Kwity Paye,['Quadricep']
2024,Braden Smith,['Knee']
2024,Tyquan Lewis,['Calf']
2024,Ryan Kelly,['Neck']
2024,Adoree' Jackson,['Calf']
2024,Dru Phillips,['Calf']
2024,Jaylen Warren,['Knee']
2024,Alex Highsmith,['Groin']
2024,MyCole Pruitt,['Knee']
2024,Javon Hargrave,['Triceps']
2024,Curtis Robinson,['Knee']
2024,Talanoa Hufanga,['Ankle']
2024,Trent Williams,['Illness']
2024,Tank Dell,['Chest']
2024,Dameon Pierce,['Hamstring']
2024,Jimmie Ward,['Groin']
2024,Jalyn Armour-Davis,['Hamstring']
2024,Andrew Vorhees,['Ankle']
2024,Morgan Moses,['Knee']
2024,C.J. Mosley,['Toe']
2024,Trey McBride,['Concussion']
2024,Khyiris Tonga,['Knee']
2024,Demario Davis,['Hamstring']
2024,A.T. Perry,['Hamstring']
2024,Cesar Ruiz,['Knee']
2024,Cedrick Wilson Jr.,['Ankle']
2024,Stephon Gilmore,['Rest']
2024,Harrison Smith,['Rest']
2024,Ivan Pace Jr.,['Ankle']
2024,Jeffery Simmons,['Elbow']
2024,Lonnie Johnson Jr.,['Hip']
2024,Damien Lewis,['Elbow']
2024,Shy Tuttle,['Foot']
2024,Jaire Alexander,['Quadricep']
2024,Jordan Morgan,['Shoulder']
2024,Carrington Valentine,['Ankle']
2024,Michael Mayer,['Non-injury']
2024,Kana'i Mauga,['Calf']
2024,Davante Adams,['Hamstring']
2024,Maxx Crosby,['Ankle']
2024,Divine Deablo,['Oblique']
2024,Thayer Munford Jr.,['Knee']
2024,Ameer Abdullah,['Back']
2024,Decamerion Richardson,['Hamstring']
2024,Tre'Davious White,['Rest']
2024,Rob Havenstein,['Rest']
2024,Cooper Kupp,['Ankle']
2024,Tylan Grable,['Groin']
2024,Taron Johnson,['Forearm']
2024,James Hudson,['Shoulder']
2024,Jordan Hicks,['Ribs']
2024,Alex Wright,['Triceps']
2024,Demetrius Flannigan-Fowles,['Calf']
2024,Isaac Yiadom,['Thigh']
2024,Chris Conley,['Oblique']
2024,Yetur Gross-Matos,['Knee']
2024,Byron Murphy II,['Hamstring']
2024,Tyrice Knight,['Knee']
2024,Tre'Davious White,['Rest']
2024,Cooper Kupp,['Ankle']
2024,Rob Havenstein,['Rest']
2024,Larrell Murchison,['Forearm']
2024,David Andrews,['Shoulder']
2024,Kyle Dugger,['Ankle']
2024,K.J. Osborn,['Shoulder']
2024,Caedan Wallace,['Ankle']
2024,Micah Parsons,['Ankle']
2024,Trevon Diggs,['Ankle']
2024,Brandin Cooks,['Knee']
2024,MyCole Pruitt,['Knee']
2024,Cordarrelle Patterson,['Ankle']
2024,Jaylen Warren,['Knee']
2024,Alex Highsmith,['Groin']
2024,Christian Watson,['Ankle']
2024,Devonte Wyatt,['Ankle']
2024,Romeo Doubs,['Personal']
2024,Luke Musgrave,['Ankle']
2024,Josey Jewell,['Hamstring']
2024,Shaq Thompson,['Achilles']
2024,Andrew Raym,['Head']
2024,Calijah Kancey,['Calf']
2024,Jalen McMillan,['Hamstring']
2024,Trey Palmer,['Concussion']
2024,SirVocea Dennis,['Shoulder']
2024,Tytus Howard,['Hamstring']
2024,Derek Barnett,['Shoulder']
2024,Jake Hansen,['Back']
2024,Jerry Hughes,['Hip']
2024,Joe Mixon,['Ankle']
2024,Lucas Patrick,['Groin']
2024,Willie Gay Jr.,['Hand']
2024,Taysom Hill,['Rib']
2024,Cesar Ruiz,['Knee']
2024,Shane Lemieux,['Ankle']
2024,Payton Turner,['Knee']
2024,Tyler Badie,['Back']
2024,Grover Stewart,['Rest']
2024,Ryan Kelly,['Neck']
2024,Kenny Moore II,['Hip']
2024,Kwity Paye,['Quadricep']
2024,Braden Smith,['Knee']
2024,Jonathan Taylor,['Ankle']
2024,Zacch Pickens,['Groin']
2024,Terell Smith,['Hip']
2024,Arthur Maulet,['Knee']
2024,Austin Johnson,['Oblique']
2024,Taylor Rapp,['Concussion']
2024,Khalil Shakir,['Ankle']
2024,DaQuan Jones,['Rest']
2024,Ed Oliver,['Hamstring']
2024,Malik Nabers,['Concussion']
2024,Morgan Moses,['Knee']
2024,Arik Armstead,['Vet Rest']
2024,Thayer Munford Jr.,['Knee']
2024,Decamerion Richardson,['Hamstring']
2024,Michael Mayer,['Non-injury']
2024,Davante Adams,['Hamstring']
2024,Zamir White,['Groin']
2024,Luke Masterson,['Knee']
2024,Troy Andersen,['Knee']
2024,Garrett Williams,['Groin']
2024,Isaiah Adams,['Thumb']
2024,Mike Hilton,['Knee']
2024,Sheldon Rankins,['Hamstring']
2024,Clelin Ferrell,['Knee']
2024,Zach Ertz,['NIR - Rest']
2024,Tyler Owens,['Shin']
2024,Noah Brown,['Groin']
2024,Jordan Poyer,['Shin']
2024,Jimmie Ward,['Groin']
2024,Robert Woods,['Foot']
2024,Kamari Lassiter,['Shoulder']
2024,Trey Palmer,['Concussion']
2024,Rachaad White,['Foot']
2024,Lavonte David,['Rest']
2024,Graham Barton,['Hamstring']
2024,Christian Izien,['Elbow']
2024,Kameron Johnson,['Ankle']
2024,Darius Robinson,['Calf']
2024,Zach Ertz,['Rest']
2024,Tyler Owens,['Shin']
2024,Brian Robinson Jr.,['Knee']
2024,Davante Adams,['Hamstring']
2024,Tommy Eichenberg,['Hamstring']
2024,Michael Mayer,['Non-injury']
2024,Taylor Moton,['Elbow']
2024,Andrew Raym,['Concussion']
2024,Tommy Tremble,['Concussion']
2024,Jadeveon Clowney,['Shoulder']
2024,Austin Corbett,['Biceps ']
2024,Josey Jewell,['Hamstring']
2024,Gus Edwards,['Ankle']
2024,Asante Samuel Jr.,['Shoulder']
2024,Ja'Sir Taylor,['Fibula']
2024,Ethan Pocic,['Knee']
2024,Denzel Ward,['Hamstring']
2024,Grant Delpit,['Concussion']
2024,Ronnie Hickman,['Ankle']
2024,James Hudson,['Shoulder']
2024,Ryan Kelly,['Neck']
2024,Grover Stewart,['Rest']
2024,Braden Smith,['Knee']
2024,Jonathan Taylor,['Ankle']
2024,Pete Werner,['Hamstring']
2024,Taysom Hill,['Rib']
2024,Cesar Ruiz,['Knee']
2024,Derek Carr,['Oblique']
2024,Lucas Patrick,['Chest']
2024,Will Harris,['Hamstring']
2024,Rhamondre Stevenson,['Foot']
2024,Jake Matthews,['Rest']
2024,Troy Andersen,['Knee']
2024,Kaleb McGary,['Rest']
2024,Grady Jarrett,['Rest']
2024,David Onyemata,['Rest']
2024,Ta'Quon Graham,['Rest']
2024,Byron Murphy II,['Hamstring']
2024,Uchenna Nwosu,['Thigh']
2024,Riq Woolen,['Ankle']
2024,Malik Nabers,['Concussion']
2024,Kayvon Thibodeaux,['Wrist']
2024,Jordan Elliott,['Knee']
2024,Demetrius Flannigan-Fowles,['Calf']
2024,Talanoa Hufanga,['Wrist']
2024,Jake Moody,['Ankle']
2024,Damontae Kazee,['Ankle']
2024,Nick Herbig,['Hamstring']
2024,Cordarrelle Patterson,['Ankle']
2024,DeMarvin Leal,['Neck']
2024,Jamal Adams,['Hip']
2024,Keondre Coburn,['Knee']
2024,Jaquan Brisker,['Concussion']
2024,Zacch Pickens,['Groin']
2024,Tyrique Stevenson,['Calf']
2024,Terell Smith,['Hip']
2024,Devonte Wyatt,['Ankle']
2024,Malik Harrison,['Groin']
2024,Arthur Maulet,['Knee']
2024,Broderick Washington,['Knee']
2024,Ed Oliver,['Hamstring']
2024,Josh Reynolds,['Hand']
2024,Alex Palczewski,['Ankle']
2024,Luke Wattenberg,['Ankle']
2024,DaRon Bland,['Foot']
2024,Eric Kendricks,['Calf']
2024,Nick Vigil,['Foot']
2024,Micah Parsons,['Ankle']
2024,Michael Carter II,['Back']
2024,Jauan Jennings,['Hip']
2024,Jake Moody,['Ankle']
2024,Matthew Wright,['Shoulder']
2024,Ronnie Hickman,['Ankle']
2024,Jerome Ford,['Hamstring']
2024,Cordarrelle Patterson,['Ankle']
2024,Montravius Adams,['Knee']
2024,Nick Herbig,['Hamstring']
2024,Zach Frazier,['Ankle']
2024,Eli Ricks,['Groin']
2024,Byron Young,['Hamstring']
2024,Dallas Goedert,['Hamstring']
2024,Jordan Mailata,['Hamstring']
2024,Mike Danna,['Pectoral']
2024,Nate Hobbs,['Rest']
2024,Dylan Parham,['Foot']
2024,Adam Butler,['Knee']
2024,Tommy Eichenberg,['Quad']
2024,Kana'i Mauga,['Knee']
2024,Jakobi Meyers,['Ankle']
2024,Javon Baker,['Illness']
2024,Vederian Lowe,['Ankle']
2024,Kenneth Walker III,['Illness']
2024,Stone Forsythe,['Hand']
2024,Tre Brown,['Ankle']
2024,Riq Woolen,['Ankle']
2024,Owen Pappoe,['Hip']
2024,Darius Robinson,['Calf']
2024,Trey Benson,['Illness']
2024,Harrison Smith,['NIR-Rest']
2024,Blake Cashman,['Toe']
2024,Akayleb Evans,['Hip']
2024,Stephon Gilmore,['NIR-Rest']
2024,Jamel Dean,['Hamstring']
2024,Payne Durham,['Calf']
2024,Lavonte David,['Rest']
2024,Vita Vea,['Hamstring']
2024,William Gholston,['Knee']
2024,Kameron Johnson,['Ankle']
2024,Bobby Wagner,['NIR - Rest']
2024,Dorance Armstrong,['Ribs']
2024,Zach Ertz,['NIR-Rest']
2024,Tyler Owens,['Shin']
2024,Dane Belton,['Illness']
2024,Adoree' Jackson,['Neck']
2024,Jamie Gillan,['Hamstring']
2024,Andrew Thomas,['Foot']
2024,Claudin Cherelus,['Hamstring']
2024,Josey Jewell,['Hamstring']
2024,Tommy Tremble,['Back']
2024,Taylor Moton,['Elbow']
2024,Jon Rhattigan,['Knee']
2024,A'Shawn Robinson,['Knee']
2024,Devonte Wyatt,['Ankle']
2024,Chris Lammons,['Ankle']
2024,Dayo Odeyingbo,['Hamstring']
2024,Michael Pittman Jr.,['Back']
2024,Braden Smith,['Knee']
2024,Jonathan Taylor,['Ankle']
2024,Grover Stewart,['NIR-Rest']
2024,Mike Edwards,['Illness']
2024,Rasheen Ali,['Ankle']
2024,Malik Harrison,['Groin']
2024,Deonte Harty,['Knee']
2024,Tre'Davious White,['Rest']
2024,Rob Havenstein,['Rest']
2024,Cesar Ruiz,['Knee']
2024,Derek Carr,['Oblique']
2024,Pete Werner,['Hamstring']
2024,Rashid Shaheed,['Knee']
2024,Chris Olave,['Concussion']
2024,Khalen Saunders,['Back']
2024,Terron Armstead,['Rest']
2024,Calais Campbell,['Rest']
2024,Odell Beckham Jr.,['Hamstring']
2024,Lorenzo Carter,['Illness']
2024,David Onyemata,['NIR-Rest']
2024,Grady Jarrett,['NIR-Rest']
2024,KhaDarel Hodge,['NIR - Personal']
2024,Kevin Zeitler,['Rest']
2024,Michael Carter II,['Back']
2024,D.J. Reed,['Groin']
2024,Azeez Al-Shaair,['Knee']
2024,Kamari Lassiter,['Shoulder']
2024,Henry To'oTo'o,['Concussion']
2024,Steven Sims,['Back']
2024,Jimmie Ward,['Groin']
2024,Robert Woods,['Foot']
2024,Alex Palczewski,['Ankle']
2024,Pat Surtain II,['Concussion']
2024,Joey Bosa,['Hip']
2024,Hayden Hurst,['Groin']
2024,Quentin Johnston,['Ankle']
2024,Deane Leonard,['Hamstring']
2024,Keondre Coburn,['Knee']
2024,L'Jarius Sneed,['Quad']
2024,Tyjae Spears,['Hamstring']
2024,Treylon Burks,['Knee']
2024,Nehemiah Pritchett,['Ankle']
2024,Boye Mafe,['Knee']
2024,DK Metcalf,['Knee']
2024,Jaylon Carlies,['Fibula']
2024,Michael Pittman Jr.,['Back']
2024,Braden Smith,['Knee']
2024,DeForest Buckner,['Ankle']
2024,Genard Avery,['Foot']
2024,L'Jarius Sneed,['Quad']
2024,Keondre Coburn,['Knee']
2024,Jaelyn Duncan,['Hamstring']
2024,T'Vondre Sweat,['Hip']
2024,Jammie Robinson,['Knee']
2024,Eddy Pineiro,['NIR-Personal']
2024,Andy Dalton,['Thumb']
2024,Diontae Johnson,['Rib']
2024,Nick Scott,['Hamstring']
2024,Adam Thielen,['Hamstring']
2024,Darius Robinson,['Calf']
2024,Dennis Gardeck,['Knee']
2024,Roy Lopez,['Ankle']
2024,Sean Murphy-Bunting,['Neck']
2024,Curtis Samuel,['Pectoal']
2024,Terrel Bernard,['Ankle']
2024,Maason Smith,['Ankle']
2024,Blake Cashman,['Toe']
2024,Marlon Humphrey,['Knee']
2024,T.J. Tampa,['Ankle']
2024,Rasheen Ali,['Ankle']
2024,Adoree' Jackson,['Neck']
2024,Jermaine Eluemunor,['Hip']
2024,Ty Summers,['Ankle']
2024,Jamie Gillan,['Hamstring']
