Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Bradley Pinion,30.0,2024,K,ATL,17.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Braelon Allen,20.0,2024,RB,NYJ,17.0,2.0,,,,,,92.0,334.0,2.0,27.0,19.0,148.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,186.0,260.0,160.0,198.5,55
Brandin Cooks,31.0,2024,WR,DAL,10.0,9.0,,,,,,3.0,-3.0,0.0,54.0,26.0,259.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,162.0,173.0,166.0,169.2,59
Brandon Aiyuk,26.0,2024,WR,SFO,7.0,7.0,,,,,,0.0,0.0,0.0,47.0,25.0,374.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,26.0,22.0,43.0,34.0,16
Brandon Allen,32.0,2024,QB,SFO,3.0,1.0,30.0,17.0,199.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0,301.0,483.0,301.0,413.0,53
Brandon Aubrey,29.0,2024,K,DAL,17.0,0.0,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,10.0,8.0,16.0,14.0,17.0,14.0,47.0,40.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,101.0,129.0,78.0,125.0,113.4,3
Brandon Johnson,26.0,2024,WR,PIT,3.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,537.0,301.0,537.0,169
Brandon McManus,33.0,2024,K,GNB,11.0,0.0,,,,,,,,,,,,,,,0.0,0.0,5.0,5.0,9.0,9.0,4.0,3.0,3.0,3.0,21.0,20.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,308.0,295.0,331.0,301.0,311.3,32
Brandon Powell,29.0,2024,WR,MIN,17.0,1.0,,,,,,0.0,0.0,0.0,10.0,7.0,71.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,301.0,414.0,301.0,389.5,125
Braxton Berrios,29.0,2024,WR,MIA,6.0,0.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,301.0,320.0,301.0,267.0,85
Brayden Narveson,25.0,2024,K,2TM,7.0,0.0,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,4.0,3.0,9.0,5.0,1.0,0.0,18.0,12.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,388.0,301.0,388.0,35
Brayden Willis,25.0,2024,TE,SFO,10.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,764.0,301.0,764.0,102
Breece Hall,23.0,2024,RB,NYJ,16.0,16.0,,,,,,209.0,876.0,5.0,76.0,57.0,483.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,8.0,7.0,5.0,5.4,3
Brenden Bates,25.0,2024,TE,CLE,2.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Brenton Strange,24.0,2024,TE,JAX,17.0,10.0,,,,,,0.0,0.0,0.0,53.0,40.0,411.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,301.0,547.0,301.0,491.5,73
Brevin Jordan,24.0,2024,TE,HOU,2.0,1.0,,,,,,0.0,0.0,0.0,3.0,2.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,301.0,346.0,301.0,326.0,44
Brevyn Spann-Ford,25.0,2024,TE,DAL,17.0,0.0,,,,,,0.0,0.0,0.0,14.0,9.0,88.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Brian Robinson Jr.,25.0,2024,RB,WAS,14.0,13.0,,,,,,187.0,799.0,8.0,25.0,20.0,159.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,108.0,122.0,78.0,92.6,29
Brian Thomas,22.0,2024,WR,JAX,17.0,16.0,,,,,,6.0,48.0,0.0,133.0,87.0,1282.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,105.0,135.0,112.0,116.2,48
Britain Covey,27.0,2024,WR,PHI,5.0,1.0,,,,,,0.0,0.0,0.0,8.0,7.0,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,301.0,532.0,301.0,415.5,136
British Brooks,25.0,2024,RB,HOU,5.0,0.0,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,301.0,736.0,301.0,573.0,110
Brock Bowers,22.0,2024,TE,LVR,17.0,16.0,,,,,,5.0,13.0,0.0,153.0,112.0,1194.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,79.0,117.0,99.0,100.6,11
Brock Purdy,25.0,2024,QB,SFO,15.0,15.0,455.0,300.0,3864.0,20.0,12.0,66.0,323.0,5.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,91.0,90.0,113.0,91.8,11
Brock Wright,26.0,2024,TE,DET,17.0,8.0,,,,,,0.0,0.0,0.0,16.0,13.0,100.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,301.0,421.0,301.0,331.5,45
Bryan Anger,36.0,2024,K,DAL,17.0,0.0,2.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bryce Oliver,24.0,2024,WR,TEN,10.0,1.0,,,,,,0.0,0.0,0.0,9.0,6.0,95.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bryce Young,23.0,2024,QB,CAR,14.0,12.0,384.0,234.0,2403.0,15.0,9.0,43.0,249.0,6.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,221.0,226.0,228.0,216.5,26
Brycen Tremayne,25.0,2024,WR,WAS,2.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bub Means,23.0,2024,WR,NOR,7.0,1.0,,,,,,0.0,0.0,0.0,15.0,9.0,118.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.0,301.0,301.0,301.0,449.0,146
Bucky Irving,22.0,2024,RB,TAM,17.0,3.0,,,,,,207.0,1122.0,8.0,52.0,47.0,392.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,196.0,255.0,150.0,191.0,53
C.J. Goodwin,34.0,2024,CB,DAL,17.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
C.J. Ham,31.0,2024,RB,MIN,17.0,3.0,,,,,,2.0,10.0,1.0,6.0,5.0,35.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0,301.0,484.0,301.0,401.0,4
C.J. Stroud,23.0,2024,QB,HOU,17.0,17.0,532.0,336.0,3727.0,20.0,12.0,52.0,233.0,0.0,1.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,42.0,44.0,61.0,48.6,5
Cade Otton,25.0,2024,TE,TAM,14.0,14.0,,,,,,1.0,-4.0,0.0,87.0,59.0,600.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,165.0,199.0,224.0,196.0,22
Cade Stover,24.0,2024,TE,HOU,15.0,9.0,,,,,,0.0,0.0,0.0,22.0,15.0,133.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,301.0,329.0,301.0,313.5,41
Cade York,23.0,2024,K,2TM,6.0,0.0,,,,,,,,,,,,,,,0.0,0.0,5.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,13.0,9.0,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,246.0,301.0,373.0,301.0,309.5,31
Cairo Santos,33.0,2024,K,CHI,17.0,0.0,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,8.0,5.0,9.0,8.0,25.0,21.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,177.0,301.0,184.0,243.0,202.0,18
Caleb Williams,23.0,2024,QB,CHI,17.0,17.0,562.0,351.0,3541.0,20.0,6.0,81.0,489.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,101.0,123.0,108.0,109.0,13
Calvin Austin III,25.0,2024,WR,PIT,17.0,8.0,,,,,,0.0,0.0,0.0,58.0,36.0,548.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,326.0,301.0,326.0,108
Calvin Ridley,30.0,2024,WR,TEN,17.0,14.0,,,,,,8.0,55.0,1.0,120.0,64.0,1017.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,83.0,76.0,79.0,74.4,32
Cam Akers,25.0,2024,RB,2TM,17.0,2.0,,,,,,104.0,444.0,2.0,18.0,14.0,68.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,301.0,369.0,221.0,334.7,84
Cam Grandy,24.0,2024,TE,CIN,8.0,6.0,,,,,,0.0,0.0,0.0,5.0,5.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Cam Little,21.0,2024,K,JAX,17.0,0.0,,,,,,,,,,,,,,,0.0,0.0,8.0,8.0,6.0,6.0,9.0,8.0,6.0,5.0,29.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,220.0,301.0,257.0,233.0,236.7,25
