Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.0002
mlp__batch_size: 16
mlp__early_stopping: True
mlp__hidden_layer_sizes: (56, 28, 14, 7)
mlp__learning_rate: adaptive
mlp__learning_rate_init: 0.001
mlp__max_iter: 2000
mlp__n_iter_no_change: 10
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.487
RMSE: 61.2


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Ja'Marr Chase | WR       | CIN  | 323.4
   2 | Baker Mayfield | QB       | TAM  | 313.6
   3 | Josh Allen  | QB       | BUF  | 303.3
   4 | Joe Burrow  | QB       | CIN  | 298.1
   5 | Lamar Jackson | QB       | BAL  | 291.9
   6 | Amon-Ra St. Brown | WR       | DET  | 281.0
   7 | Jalen Hurts | QB       | PHI  | 273.8
   8 | Justin Jefferson | WR       | MIN  | 271.7
   9 | Josh Jacobs | RB       | GNB  | 265.9
  10 | Jared Goff  | QB       | DET  | 260.3
  11 | Derrick Henry | RB       | BAL  | 254.0
  12 | CeeDee Lamb | WR       | DAL  | 249.4
  13 | Sam Darnold | QB       | MIN  | 249.1
  14 | Kyren Williams | RB       | LAR  | 241.9
  15 | James Cook  | RB       | BUF  | 241.7
  16 | Saquon Barkley | RB       | PHI  | 236.8
  17 | Terry McLaurin | WR       | WAS  | 236.7
  18 | Jayden Daniels | QB       | WAS  | 233.8
  19 | Jaxon Smith-Njigba | WR       | SEA  | 232.8
  20 | Geno Smith  | QB       | SEA  | 230.7
