ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Player Name
132.0,97.0,137.0,98.0,116.0,Kenneth Walker III
111.0,114.0,118.0,122.0,116.3,Chase Claypool
122.0,123.0,124.0,99.0,117.0,James Robinson
124.0,119.0,115.0,110.0,117.0,Michael Carter
121.0,121.0,91.0,142.0,118.8,San Francisco 49ers DST
112.0,117.0,128.0,119.0,119.0,Kadarius Toney
128.0,103.0,153.0,96.0,120.0,James Cook
115.0,116.0,143.0,113.0,121.8,Cole Kmet
136.0,147.0,67.0,144.0,123.5,Indianapolis Colts DST
125.0,130.0,131.0,115.0,125.3,Kirk Cousins
146.0,111.0,147.0,107.0,127.8,George Pickens
161.0,106.0,87.0,162.0,129.0,Los Angeles Rams DST
116.0,134.0,95.0,171.0,129.0,Harrison Butker
102.0,133.0,127.0,154.0,129.0,Evan McPherson
129.0,113.0,122.0,152.0,129.0,Mike Gesicki
118.0,141.0,136.0,126.0,130.3,Hunter Henry
143.0,108.0,159.0,117.0,131.8,Treylon Burks
127.0,135.0,119.0,148.0,132.3,Daniel Carlson
156.0,126.0,144.0,104.0,132.5,Darrell Henderson Jr.
144.0,138.0,90.0,159.0,132.8,Tyler Bass
154.0,124.0,142.0,120.0,135.0,Alexander Mattison
105.0,144.0,123.0,169.0,135.3,New Orleans Saints DST
113.0,136.0,134.0,160.0,135.8,Matt Gay
126.0,128.0,166.0,131.0,137.8,Tyler Boyd
120.0,120.0,157.0,155.0,138.0,Garrett Wilson
130.0,139.0,108.0,178.0,138.8,Dallas Cowboys DST
140.0,143.0,149.0,125.0,139.3,Michael Gallup
131.0,127.0,188.0,116.0,140.5,Nyheim Hines
135.0,149.0,141.0,137.0,140.5,Tua Tagovailoa
100.0,146.0,130.0,194.0,142.5,Green Bay Packers DST
137.0,122.0,185.0,127.0,142.8,Skyy Moore
160.0,118.0,154.0,143.0,143.8,Julio Jones
134.0,182.0,145.0,118.0,144.8,Raheem Mostert
139.0,165.0,133.0,145.0,145.5,Russell Gage
170.0,142.0,164.0,111.0,146.8,Kenneth Gainwell
145.0,170.0,140.0,135.0,147.5,DJ Chark Jr.
149.0,158.0,146.0,139.0,148.0,Justin Fields
150.0,129.0,120.0,196.0,148.8,Los Angeles Chargers DST
123.0,137.0,172.0,163.0,148.8,Marquez Valdes-Scantling
157.0,145.0,116.0,186.0,151.0,Matt Prater
165.0,156.0,158.0,136.0,153.8,Brian Robinson Jr.
142.0,168.0,169.0,141.0,155.0,Trevor Lawrence
152.0,148.0,129.0,192.0,155.3,Tyler Higbee
148.0,140.0,195.0,146.0,157.3,Jarvis Landry O
119.0,125.0,171.0,224.0,159.8,Baltimore Ravens DST
167.0,150.0,163.0,166.0,161.5,DeVante Parker
155.0,155.0,181.0,156.0,161.8,David Njoku
133.0,172.0,206.0,138.0,162.3,Jakobi Meyers
153.0,191.0,160.0,153.0,164.3,Noah Fant
163.0,171.0,204.0,123.0,165.3,J.D. McKissic O
