Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Andre Baccellia,25.0,2022,WR,ARI,8.0,0.0,,,,,,0.0,0.0,0.0,10.0,7.0,45.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,11.5,4.5
Andrew Beck,26.0,2022,TE,DEN,13.0,4.0,,,,,,2.0,0.0,0.0,11.0,5.0,69.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,11.9,6.9
Andy Dalton,35.0,2022,QB,NOR,14.0,14.0,378.0,252.0,2871.0,18.0,9.0,30.0,54.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,174.24,174.24
Andy Isabella,26.0,2022,WR,2TM,5.0,0.0,,,,,,1.0,1.0,0.0,5.0,2.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,4.2,2.2
Andy Lee,40.0,2022,K,ARI,17.0,0.0,1.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,0.0,0.0
Anthony Brown,24.0,2022,QB,BAL,2.0,1.0,49.0,22.0,302.0,0.0,2.0,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,7.58,7.58
Anthony Firkser,27.0,2022,RB,ATL,11.0,1.0,,,,,,0.0,0.0,0.0,13.0,9.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,19.0,10.0
Anthony McFarland Jr.,24.0,2022,RB,PIT,1.0,0.0,,,,,,6.0,30.0,0.0,2.0,2.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,6.1,4.1
Anthony Schwartz,22.0,2022,WR,CLE,11.0,1.0,,,,,,4.0,57.0,1.0,10.0,4.0,51.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,20.8,16.8
Antonio Gibson,24.0,2022,RB,WAS,15.0,6.0,,,,,,149.0,546.0,3.0,58.0,46.0,353.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,56.0,58.0,61.0,64.8,25,165.9,119.9
Arizona Cardinals DST,,2022,DEF,ARI,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5931.0,1075.0,20.0,363.0,3915.0,29.0,2016.0,21.0,94.0,757.0,21.0,41.6,10.5,36.0,11.0,9.0,11.0,0.0,5.0,-10.0,,301.0,301.0,191.0,276.0,233.5,23,96.0,96.0
Armani Rogers,25.0,2022,TE,WAS,11.0,3.0,,,,,,2.0,26.0,0.0,6.0,5.0,64.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,14.0,9.0
Arryn Siposs,30.0,2022,K,PHI,13.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,0.0,0.0
Ashton Dulin,25.0,2022,WR,IND,12.0,2.0,,,,,,2.0,8.0,0.0,22.0,15.0,207.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,42.5,27.500000000000004
Atlanta Falcons DST,,2022,DEF,ATL,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6156.0,1082.0,17.0,351.0,3942.0,26.0,2214.0,15.0,100.0,804.0,15.0,43.5,10.0,21.0,10.0,7.0,8.0,1.0,3.0,-2.0,,301.0,301.0,301.0,301.0,301.0,301,73.0,73.0
Austin Ekeler,27.0,2022,RB,LAC,17.0,17.0,,,,,,204.0,915.0,13.0,127.0,107.0,722.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,3.0,3.8,3,378.7,271.7
Austin Hooper,28.0,2022,TE,TEN,17.0,2.0,,,,,,0.0,0.0,0.0,60.0,41.0,444.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,206.0,220.0,211.0,209.0,25,97.4,56.400000000000006
