Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.125
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (256, 128, 64)
mlp__learning_rate: adaptive
mlp__learning_rate_init: 0.001
mlp__max_iter: 2000
mlp__n_iter_no_change: 15
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.502
RMSE: 60.3


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Lamar Jackson | QB       | BAL  | 367.9
   2 | Joe Burrow  | QB       | CIN  | 338.2
   3 | Ja'Marr Chase | WR       | CIN  | 322.7
   4 | Josh Allen  | QB       | BUF  | 322.2
   5 | Jalen Hurts | QB       | PHI  | 309.5
   6 | Baker Mayfield | QB       | TAM  | 306.1
   7 | Jared Goff  | QB       | DET  | 265.8
   8 | Sam Darnold | QB       | MIN  | 256.9
   9 | Jayden Daniels | QB       | WAS  | 253.2
  10 | CeeDee Lamb | WR       | DAL  | 246.5
  11 | Justin Herbert | QB       | LAC  | 242.5
  12 | Bijan Robinson | RB       | ATL  | 241.6
  13 | Josh Jacobs | RB       | GNB  | 239.1
  14 | Amon-Ra St. Brown | WR       | DET  | 233.2
  15 | Jahmyr Gibbs | RB       | DET  | 232.4
  16 | Drake London | WR       | ATL  | 230.1
  17 | Kyren Williams | RB       | LAR  | 228.9
  18 | Justin Jefferson | WR       | MIN  | 225.0
  19 | Kyler Murray | QB       | ARI  | 225.0
  20 | Malik Nabers | WR       | NYG  | 223.4
