season,player_name,injuries
2022,Calais Campbell,['NIR - Rest']
2022,Justin Houston,['NIR - Rest']
2022,Travis Jones,['Knee']
2022,Marcus Peters,['Knee']
2022,Zyon McCollum,['Hamstring']
2022,Lavonte David,['Not Injury Related']
2022,Mike Evans,['Not Injury Related']
2022,Trayvon Mullen,['Toe']
2022,Byron Murphy Jr.,['Illness']
2022,Cody Ford,['Ankle']
2022,J.J. Watt,['Calf']
2022,Rondale Moore,['Hamstring']
2022,Kenneth Walker III,['Hernia']
2022,Tyler Ott,['Shoulder']
2022,Artie Burns,['Groin']
2022,Devin Asiasi,['Quad']
2022,Donald Parham Jr.,['Hamstring']
2022,J.C. Jackson,['Ankle']
2022,Daniel Brunskill,['Hamstring']
2022,George Kittle,['Groin']
2022,Josey Jewell,['Calf']
2022,Jayron Kearse,['Neck']
2022,Ola Adeniyi,['Neck']
2022,Lonnie Johnson Jr.,['Groin']
2022,Velus Jones Jr.,['Hamstring']
2022,Tre'Quan Smith,['Groin']
2022,Dwayne Washington,['Hamstring']
2022,Paulson Adebo,['Ankle']
2022,Tyrann Mathieu,['Illness']
2022,Michael Woods II,['Hamstring']
2022,Allen Lazard,['Ankle']
2022,Kam Curl,['Thumb']
2022,Lewis Cine,['Knee']
2022,Alexander Mattison,['NIR-Personal']
2022,Mario Addison,['Thigh']
2022,Rasheem Green,['Thigh']
2022,Tommy Kraemer,['Back']
2022,Levi Onwuzurike,['Back']
2022,Duane Brown,['Shoulder']
2022,Zach Wilson,['Knee']
2022,Van Jefferson,['Knee']
2022,Ed Oliver,['Ankle']
2022,Stefon Diggs,['Vet Rest']
2022,Donovan Smith,['Elbow']
2022,Lavonte David,['NIR-Rest']
2022,Akiem Hicks,['NIR-Rest']
2022,Chris Godwin,['Hamstring']
2022,Brandon Stephens,['Quad']
2022,Nick Boyle,['NIR-Rest']
2022,Marlon Humphrey,['Groin']
2022,Calais Campbell,['NIR-Rest']
2022,Justin Houston,['NIR-Rest']
2022,James Proche II,['Groin']
2022,Keenan Allen,['Hamstring']
2022,Donald Parham Jr.,['Hamstring']
2022,Quinn Meinerz,['Hamstring']
2022,KJ Hamler,['Knee']
2022,Nick McCloud,['Hamstring']
2022,Aaron Robinson,['Appendix']
2022,Wan'Dale Robinson,['Knee']
2022,Kristian Fulton,['Hamstring']
2022,Dontrell Hilliard,['Hamstring']
2022,Jamarco Jones,['Elbow']
2022,Andy Isabella,['Back']
2022,Rondale Moore,['Hamstring']
2022,Brian Allen,['Knee']
2022,Van Jefferson,['Knee']
2022,Aaron Donald,['Rest']
2022,Leonard Floyd,['Knee']
2022,Cethan Carter,['Concussion']
2022,Harrison Butker,['Left Ankle']
2022,Justin Coleman,['Calf']
2022,Joey Blount,['Hamstring']
2022,Justin Britt,['NIR-Personal']
2022,Damien Williams,['Rib']
2022,Velus Jones Jr.,['Hamstring']
2022,Frank Ragnow,['Groin']
2022,Jonah Jackson,['Finger']
2022,Amani Oruwariye,['Back']
2022,Andrew Booth,['Quad']
2022,Alec Pierce,['Concussion']
2022,Michael Pittman Jr.,['Quad']
2022,Shi Smith,['Groin']
2022,Brandon Smith,['Thigh']
2022,Chris Hubbard,['Elbow']
2022,Perrion Winfrey,['Not Injury Related']
2022,C.J. Uzomah,['Hamstring']
2022,Brandon Bolden,['Hamstring']
2022,Andre James,['Concussion']
2022,Tre'von Moehrig,['Hip']
2022,Denzel Perryman,['Ankle']
2022,Jayron Kearse,['Knee']
2022,Connor McGovern,['Ankle']
2022,Dak Prescott,['Thumb']
2022,Alvin Kamara,['Rib']
2022,Paulson Adebo,['Ankle']
2022,Daniel Brunskill,['Hamstring']
2022,George Kittle,['Groin']
