season,player_name,injuries
2021,Jordan Whitehead,['Hamstring']
2021,Shi Smith,['Shoulder']
2021,Terron Armstead,['Back']
2021,James Hurst,['Knee']
2021,Tre'Quan Smith,['Hamstring']
2021,Ken Crawley,['Hamstring']
2021,Sharrod Neasman,['Hamstring']
2021,Keelan Cole Sr.,['Knee']
2021,Dennis Gardeck,['ACL']
2021,Antoine Wesley,['Illness']
2021,Brandon Williams,['Not Injury Related']
2021,Ronnie Stanley,['Undisclosed']
2021,Calais Campbell,['Rest']
2021,Derek Wolfe,['Back']
2021,Jordan Whitehead,['Hamstring']
2021,Lonnie Johnson Jr.,['Thigh']
2021,Kevin Pierre-Louis,['Thigh']
2021,Deshaun Watson,['Not Injury Related']
2021,Jonathan Greenard,['Illness']
2021,Shaquille Leonard,['Ankle']
2021,Xavier Rhodes,['Calf']
2021,Kemoko Turay,['Groin']
2021,David Long Jr.,['Hamstring']
2021,Tommy Hudson,['Toe']
2021,Austin Ekeler,['Hamstring']
2021,Trey Marshall,['Ankle']
2021,Austin Blythe,['Abdomen']
2021,Evan Engram,['Calf']
2021,Anthony Barr,['Knee']
2021,Eddie Goldman,['Knee']
2021,Jalen Hurd,['Knee']
2021,Emmanuel Moseley,['Knee']
2021,Tony Fields II,['Illness']
2021,Gabe Jackson,['Load Mgmt']
2021,Duane Brown,['Load Mgmt']
2021,Malcolm Perry,['Foot']
2021,Star Lotulelei,['Calf']
2021,DeSean Jackson,['Not Injury Related']
2021,Tre Herndon,['Knee']
2021,Taylor Decker,['Finger']
2021,Vernon Scott,['Hamstring']
2021,Za'Darius Smith,['Back']
2021,Richie Incognito,['Calf']
2021,Roderic Teamer,['Shoulder']
2021,Curtis Samuel,['Groin']
2021,Trae Waynes,['Hamstring']
