Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Blake Bell,30.0,2021,TE,KAN,16.0,5.0,,,,,,4.0,10.0,0.0,13.0,9.0,87.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Gillikin,23.0,2021,K,NOR,17.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Jarwin,27.0,2021,TE,DAL,8.0,5.0,,,,,,0.0,0.0,0.0,17.0,11.0,96.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,218.0,202.0,236.0,219.0,26.0
Boston Scott,26.0,2021,RB,PHI,16.0,4.0,,,,,,87.0,373.0,7.0,16.0,13.0,83.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,297.0,206.0,238.8,69.0
Braden Mann,24.0,2021,K,NYJ,10.0,0.0,,,,,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Pinion,27.0,2021,K,TAM,15.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,28.0,2021,WR,HOU,16.0,16.0,,,,,,2.0,21.0,0.0,134.0,90.0,1037.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,94.0,100.0,100.0,92.8,37.0
Brandon Aiyuk,23.0,2021,WR,SFO,17.0,16.0,,,,,,5.0,17.0,0.0,84.0,56.0,826.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,61.0,64.0,62.0,60.8,23.0
Brandon Allen,29.0,2021,QB,CIN,6.0,1.0,34.0,17.0,149.0,2.0,0.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bolden,31.0,2021,RB,NWE,17.0,1.0,,,,,,44.0,226.0,1.0,49.0,41.0,405.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Brandon McManus,30.0,2021,K,DEN,17.0,0.0,,,,,,,,,,,,,,14.0,13.0,8.0,8.0,9.0,5.0,31.0,26.0,34.0,33.0,,,,,,,,,,,,,,,,,,,,,,143.0,,177.0,238.0,195.5,12.0
Brandon Zylstra,28.0,2021,WR,CAR,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,26.0,2021,WR,NYJ,16.0,1.0,,,,,,7.0,40.0,2.0,65.0,46.0,431.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breshad Perriman,28.0,2021,WR,TAM,6.0,0.0,,,,,,1.0,-3.0,0.0,18.0,11.0,167.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,80.0
Brett Maher,32.0,2021,K,NOR,8.0,0.0,,,,,,,,,,,,,,13.0,12.0,4.0,4.0,1.0,0.0,18.0,16.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Rypien,25.0,2021,QB,DEN,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevin Jordan,21.0,2021,TE,HOU,9.0,2.0,,,,,,0.0,0.0,0.0,28.0,20.0,178.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Hoyer,36.0,2021,QB,NWE,5.0,0.0,11.0,9.0,227.0,1.0,0.0,11.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
