Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
A.J. Brown,26.0,2023,WR,PHI,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,106.0,1456.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,13.0,15.0,15.0,8.0,289.6,183.6
A.J. McCarron,33.0,2023,QB,CIN,2.0,0.0,5.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,154.0,0.76,0.76
A.T. Perry,24.0,2023,WR,NOR,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,246.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,422.0,137.0,60.6,48.6
AJ Dillon,25.0,2023,RB,GNB,15.0,6.0,0.0,0.0,0.0,0.0,0.0,178.0,613.0,2.0,28.0,22.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,154.0,117.6,95.6
Aaron Jones,29.0,2023,RB,GNB,11.0,11.0,0.0,0.0,0.0,0.0,0.0,142.0,656.0,2.0,43.0,30.0,233.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,40.0,38.0,39.0,37.3,14.0,132.9,102.9
Aaron Rodgers,40.0,2023,QB,NYJ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,94.0,98.0,122.0,101.8,12.0,0.0,0.0
Adam Prentice,26.0,2023,RB,NOR,13.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,3.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,492.0,11.0,2.4,0.4
Adam Thielen,33.0,2023,WR,CAR,17.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,137.0,103.0,1014.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,127.0,158.0,127.0,137.3,50.0,227.0,124.0
Adam Trautman,26.0,2023,TE,DEN,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,204.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,336.0,53.0,60.4,38.4
Aidan O'Connell,25.0,2023,QB,LVR,11.0,10.0,343.0,213.0,2218.0,12.0,7.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,369.0,50.0,121.82,121.82
