season,player_name,injuries
2023,Tyler Smith,['Hamstring']
2023,Donovan Wilson,['Calf']
2023,Cody Mauch,['Back']
2023,Terron Armstead,['Back']
2023,Elijah Campbell,['Knee']
2023,Joseph Ossai,['Ankle']
2023,Emmanuel Moseley,['Knee']
2023,Dax Milne,['Groin']
2023,Kenny McIntosh,['Knee']
2023,Jamal Adams,['Knee']
2023,Jordyn Brooks,['NIR - Rest']
2023,Boye Mafe,['Illness']
2023,Rhamondre Stevenson,['Illness']
2023,Jack Jones,['Hamstring']
2023,Matt Corral,['NIR - Personal']
2023,JuJu Brents,['NIR - Personal']
2023,Juan Thornhill,['Calf']
2023,Kelvin Beachum,['Hand']
2023,Tre Avery,['Hamstring']
2023,Jeff Okudah,['Ankle']
2023,Jonnu Smith,['NIR - Rest']
2023,Brandon Facyson,['Shin']
2023,Chandler Jones,['NIR - Personal']
2023,Tre'Quan Smith,['Groin']
2023,J.T. Gray,['Shoulder']
2023,Kendre Miller,['Hamstring']
2023,Antonio Johnson,['Hamstring']
2023,Travis Kelce,['Knee']
2023,Stetson Bennett,['Shoulder']
2023,Brian Allen,['NIR  -  Rest']
2023,Van Jefferson,['NIR  -  Rest']
2023,David Bakhtiari,['NIR - Rest']
2023,Christian Watson,['Hamstring']
2023,Marlon Humphrey,['Foot']
2023,Daiyan Henley,['Hamstring']
2023,Chris Rumph II,['Hamstring']
2023,Blake Cashman,['Hamstring']
2023,John Metchie III,['Hamstring']
2023,Jimmie Ward,['Hip']
