Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.125
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (256, 128, 64)
mlp__learning_rate: adaptive
mlp__learning_rate_init: 0.001
mlp__max_iter: 2000
mlp__n_iter_no_change: 15
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.564
RMSE: 56.4


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Josh Allen  | QB       | BUF  | 379.9
   2 | Jalen Hurts | QB       | PHI  | 367.2
   3 | Lamar Jackson | QB       | BAL  | 330.8
   4 | Amon-Ra St. Brown | WR       | DET  | 292.0
   5 | Ja'Marr Chase | WR       | CIN  | 282.1
   6 | CeeDee Lamb | WR       | DAL  | 280.2
   7 | Joe Burrow  | QB       | CIN  | 279.7
   8 | Jared Goff  | QB       | DET  | 273.7
   9 | Justin Jefferson | WR       | MIN  | 263.6
  10 | Patrick Mahomes | QB       | KAN  | 263.2
  11 | Jahmyr Gibbs | RB       | DET  | 262.2
  12 | Baker Mayfield | QB       | TAM  | 261.8
  13 | Justin Herbert | QB       | LAC  | 255.4
  14 | Tyreek Hill | WR       | MIA  | 253.1
  15 | Josh Jacobs | RB       | GNB  | 250.2
  16 | Saquon Barkley | RB       | PHI  | 237.7
  17 | Derrick Henry | RB       | BAL  | 232.8
  18 | A.J. Brown  | WR       | PHI  | 221.3
  19 | Geno Smith  | QB       | SEA  | 220.3
  20 | Mike Evans  | WR       | TAM  | 217.9
