Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Julian Hill,23.0,2023,TE,MIA,15.0,4.0,,,,,,0.0,0.0,0.0,9.0,6.0,48.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,301.0,301.0,301.0,355.0,59
Julio Jones,34.0,2023,WR,PHI,11.0,4.0,,,,,,0.0,0.0,0.0,19.0,11.0,74.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,301.0,301.0,301.0,284.0,99
Justice Hill,26.0,2023,RB,BAL,16.0,5.0,,,,,,84.0,387.0,3.0,39.0,28.0,206.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Justin Fields,24.0,2023,QB,CHI,13.0,13.0,370.0,227.0,2562.0,16.0,9.0,124.0,657.0,4.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,44.0,40.0,49.0,44.3,7
Justin Herbert,25.0,2023,QB,LAC,13.0,13.0,456.0,297.0,3134.0,20.0,7.0,52.0,228.0,3.0,1.0,1.0,10.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,46.0,44.0,42.0,43.5,6
Justin Jefferson,24.0,2023,WR,MIN,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,-12.0,0.0,100.0,68.0,1074.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1
Justin Tucker,34.0,2023,K,BAL,17.0,0.0,,,,,,,,,,,,,,20.0,20.0,12.0,11.0,5.0,1.0,37.0,32.0,52.0,51.0,,,,,,,,,,,,,,,,,,,,,,83.0,91.0,71.0,116.0,90.3,1
Justin Watson,27.0,2023,WR,KAN,16.0,8.0,,,,,,0.0,0.0,0.0,53.0,27.0,460.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0,301.0,301.0,301.0,274.0,95
Justyn Ross,24.0,2023,WR,KAN,10.0,1.0,,,,,,0.0,0.0,0.0,11.0,6.0,53.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,187.0,276.0,242.0,230.8,77
Juwan Johnson,27.0,2023,TE,NOR,13.0,11.0,,,,,,0.0,0.0,0.0,59.0,37.0,368.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,195.0,100.0,132.0,147.3,15
