Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Jaeden Graham,25.0,2020,TE,ATL,16.0,0.0,,,,,,0.0,0.0,0.0,5.0,3.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,,,,374.0,59.0,5.5,2.5
Jake Bailey,23.0,2020,K,NWE,16.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jake Butt,25.0,2020,TE,DEN,5.0,1.0,,,,,,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,260.0,30.0,2.5,0.5
Jake Elliott,25.0,2020,K,PHI,16.0,0.0,,,,,,,,,,,,,,9.0,7.0,5.0,5.0,5.0,2.0,19.0,14.0,26.0,24.0,,,,,,,,,,,,,,,,,,,,,,168.0,,,217.0,206.3,9.0,66.0,66.0
Jake Kumerow,28.0,2020,WR,BUF,6.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,22.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,8.2
Jake Luton,24.0,2020,QB,JAX,3.0,3.0,110.0,60.0,624.0,2.0,6.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.26,24.26
Jakeem Grant,28.0,2020,WR,MIA,14.0,4.0,,,,,,3.0,20.0,0.0,54.0,36.0,373.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,41.3
Jakob Johnson,26.0,2020,RB,NWE,16.0,11.0,,,,,,0.0,0.0,0.0,9.0,8.0,35.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,7.5
Jakobi Meyers,24.0,2020,WR,NWE,14.0,9.0,2.0,2.0,43.0,2.0,0.0,2.0,9.0,0.0,81.0,59.0,729.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,110.0,140.52,81.52
Jaleel Scott,25.0,2020,WR,NYJ,1.0,1.0,,,,,,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.6
