season,player_name,injuries
2020,Adoree' Jackson,['Knee']
2020,Derick Roberson,['Knee']
2020,Tyler Davis,['Knee']
2020,Devine Ozigbo,['Hamstring']
2020,Anthony Castonzo,['Oblique']
2020,Denico Autry,['Rest']
2020,Ryan Kelly,['Knee']
2020,Justin Houston,['Calf']
2020,T.Y. Hilton,['Rest']
2020,Jason Witten,['Not Injury Related']
2020,Rodney Hudson,['Not Injury Related']
2020,Josh Jones,['Ankle']
2020,KeeSean Johnson,['Not Injury Related']
2020,Billy Turner,['Knee']
2020,Randy Ramsey,['Groin']
2020,Hunter Bryant,['Hamstring']
2020,Kenny Golladay,['Hamstring']
2020,C.J. Moore,['Hamstring']
2020,Halapoulivaati Vaitai,['Foot']
2020,Marcus Davenport,['Elbow']
2020,Cesar Ruiz,['Ankle']
2020,Blake Gillikin,['Back']
2020,Nnamdi Madubuike,['Knee']
2020,Chris Moore,['Finger']
2020,Pernell McPhee,['Not Injury Related']
2020,Justice Hill,['Thigh']
2020,Greedy Williams,['Shoulder']
2020,Kevin Johnson,['Liver']
2020,Mack Wilson Sr.,['Knee']
2020,Chris Hubbard,['Ankle']
2020,Avery Williamson,['Hamstring']
2020,Denzel Mims,['Hamstrings']
2020,La'Mical Perine,['Ankle']
2020,James Carpenter,['Not Injury Related']
2020,Todd Gurley,['Not Injury Related']
2020,Charles Harris,['Ankle']
2020,Alex Mack,['Not Injury Related']
2020,Kendall Sheffield,['Foot']
2020,Von Miller,['Ankle']
2020,Mark Barron,['Hamstring']
2020,Courtland Sutton,['Shoulder']
2020,Dennis Daley,['Ankle']
2020,Adarius Taylor,['Not Injury Related']
2020,Jason Verrett,['Hamstring']
2020,Tevin Coleman,['Not Injury Related']
2020,Deebo Samuel,['Foot']
2020,Trai Turner,['Knee']
2020,Mike Pouncey,['Hip']
2020,Ndamukong Suh,['Not Injury Related']
2020,Phillip Dorsett II,['Foot']
2020,Cedric Ogbuehi,['Pectoral']
2020,Thomas Davis Sr.,['Calf']
2020,Josh Norman,['Hamstring']
2020,Gunner Olszewski,['Foot']
2020,Yodny Cajuste,['Knee']
2020,Alshon Jeffery,['Foot']
2020,Javon Hargrave,['Pectoral']
2020,Robert Quinn,['Ankle']
2020,LeShaun Sims,['Not Injury Related']
2020,Shawn Williams,['Calf']
2020,Geno Atkins,['Shoulder']
2020,Jourdan Lewis,['Ankle']
2020,David DeCastro,['Knee']
2020,Ben Roethlisberger,['Not Injury Related']
