Player Name,2018 Age,2018 Position,2018 Team,2018 Games Played,2018 Games Started,2018 Passing Attempts,2018 Passing Completions,2018 Passing Yards,2018 Passing Touchdowns,2018 Interceptions Thrown,2018 Rushing Attempts,2018 Rushing Yards,2018 Rushing Touchdowns,2018 Targets,2018 Receptions,2018 Receiving Yards,2018 Receiving Touchdowns,2018 Fumbles,2018 Field Goals Attempted 0-39,2018 Field Goals Made 0-39,2018 Field Goals Attempted 40-49,2018 Field Goals Made 40-49,2018 Field Goals Attempted 50+,2018 Field Goals Made 50+,2018 Field Goals Attempted,2018 Field Goals Made,2018 Extra Points Attempted,2018 Extra Points Made,2018 Total Yards Allowed,2018 Total Plays,2018 Takeaways,2018 First Downs Allowed,2018 Passing Yards Allowed,2018 Passing Touchdowns Allowed,2018 Rushing Yards Allowed,2018 Rushing Touchdowns Allowed,2018 Penalties Committed,2018 Penalty Yards,2018 First Downs by Penalty,2018 Percent Drives Scored On,2018 Percent Drives Takeaway,2018 ST_Sacks,2018 ST_Interceptions,2018 ST_Fumble Recoveries,2018 ST_Forced Fumbles,2018 ST_Safeties,2018 ST_Special Teams Touchdowns,2018 Fantasy Points From Points,2018 XP2,2018 ESPN ADP,2018 Sleeper ADP,2018 NFL ADP,2018 RTSports ADP,2018 Average ADP,2018 Positional ADP,2018 PPR Fantasy Points Scored,2018 Standard Fantasy Points Scored,2019 Age,2019 Position,2019 Team,2019 Games Played,2019 Games Started,2019 Passing Attempts,2019 Passing Completions,2019 Passing Yards,2019 Passing Touchdowns,2019 Interceptions Thrown,2019 Rushing Attempts,2019 Rushing Yards,2019 Rushing Touchdowns,2019 Targets,2019 Receptions,2019 Receiving Yards,2019 Receiving Touchdowns,2019 Fumbles,2019 Field Goals Attempted 0-39,2019 Field Goals Made 0-39,2019 Field Goals Attempted 40-49,2019 Field Goals Made 40-49,2019 Field Goals Attempted 50+,2019 Field Goals Made 50+,2019 Field Goals Attempted,2019 Field Goals Made,2019 Extra Points Attempted,2019 Extra Points Made,2019 Total Yards Allowed,2019 Total Plays,2019 Takeaways,2019 First Downs Allowed,2019 Passing Yards Allowed,2019 Passing Touchdowns Allowed,2019 Rushing Yards Allowed,2019 Rushing Touchdowns Allowed,2019 Penalties Committed,2019 Penalty Yards,2019 First Downs by Penalty,2019 Percent Drives Scored On,2019 Percent Drives Takeaway,2019 ST_Sacks,2019 ST_Interceptions,2019 ST_Fumble Recoveries,2019 ST_Forced Fumbles,2019 ST_Safeties,2019 ST_Special Teams Touchdowns,2019 Fantasy Points From Points,2019 XP2,2019 ESPN ADP,2019 Sleeper ADP,2019 NFL ADP,2019 RTSports ADP,2019 Average ADP,2019 Positional ADP,2019 PPR Fantasy Points Scored,2019 Standard Fantasy Points Scored,2020 Age,2020 Position,2020 Team,2020 Games Played,2020 Games Started,2020 Passing Attempts,2020 Passing Completions,2020 Passing Yards,2020 Passing Touchdowns,2020 Interceptions Thrown,2020 Rushing Attempts,2020 Rushing Yards,2020 Rushing Touchdowns,2020 Targets,2020 Receptions,2020 Receiving Yards,2020 Receiving Touchdowns,2020 Fumbles,2020 Field Goals Attempted 0-39,2020 Field Goals Made 0-39,2020 Field Goals Attempted 40-49,2020 Field Goals Made 40-49,2020 Field Goals Attempted 50+,2020 Field Goals Made 50+,2020 Field Goals Attempted,2020 Field Goals Made,2020 Extra Points Attempted,2020 Extra Points Made,2020 Total Yards Allowed,2020 Total Plays,2020 Takeaways,2020 First Downs Allowed,2020 Passing Yards Allowed,2020 Passing Touchdowns Allowed,2020 Rushing Yards Allowed,2020 Rushing Touchdowns Allowed,2020 Penalties Committed,2020 Penalty Yards,2020 First Downs by Penalty,2020 Percent Drives Scored On,2020 Percent Drives Takeaway,2020 ST_Sacks,2020 ST_Interceptions,2020 ST_Fumble Recoveries,2020 ST_Forced Fumbles,2020 ST_Safeties,2020 ST_Special Teams Touchdowns,2020 Fantasy Points From Points,2020 XP2,2020 ESPN ADP,2020 Sleeper ADP,2020 NFL ADP,2020 RTSports ADP,2020 Average ADP,2020 Positional ADP,2020 PPR Fantasy Points Scored,2020 Standard Fantasy Points Scored,2021 Age,2021 Position,2021 Team,2021 Games Played,2021 Games Started,2021 Passing Attempts,2021 Passing Completions,2021 Passing Yards,2021 Passing Touchdowns,2021 Interceptions Thrown,2021 Rushing Attempts,2021 Rushing Yards,2021 Rushing Touchdowns,2021 Targets,2021 Receptions,2021 Receiving Yards,2021 Receiving Touchdowns,2021 Fumbles,2021 Field Goals Attempted 0-39,2021 Field Goals Made 0-39,2021 Field Goals Attempted 40-49,2021 Field Goals Made 40-49,2021 Field Goals Attempted 50+,2021 Field Goals Made 50+,2021 Field Goals Attempted,2021 Field Goals Made,2021 Extra Points Attempted,2021 Extra Points Made,2021 Total Yards Allowed,2021 Total Plays,2021 Takeaways,2021 First Downs Allowed,2021 Passing Yards Allowed,2021 Passing Touchdowns Allowed,2021 Rushing Yards Allowed,2021 Rushing Touchdowns Allowed,2021 Penalties Committed,2021 Penalty Yards,2021 First Downs by Penalty,2021 Percent Drives Scored On,2021 Percent Drives Takeaway,2021 ST_Sacks,2021 ST_Interceptions,2021 ST_Fumble Recoveries,2021 ST_Forced Fumbles,2021 ST_Safeties,2021 ST_Special Teams Touchdowns,2021 Fantasy Points From Points,2021 XP2,2021 ESPN ADP,2021 Sleeper ADP,2021 NFL ADP,2021 RTSports ADP,2021 Average ADP,2021 Positional ADP,2021 PPR Fantasy Points Scored,2021 Standard Fantasy Points Scored,2022 Age,2022 Position,2022 Team,2022 Games Played,2022 Games Started,2022 Passing Attempts,2022 Passing Completions,2022 Passing Yards,2022 Passing Touchdowns,2022 Interceptions Thrown,2022 Rushing Attempts,2022 Rushing Yards,2022 Rushing Touchdowns,2022 Targets,2022 Receptions,2022 Receiving Yards,2022 Receiving Touchdowns,2022 Fumbles,2022 Field Goals Attempted 0-39,2022 Field Goals Made 0-39,2022 Field Goals Attempted 40-49,2022 Field Goals Made 40-49,2022 Field Goals Attempted 50+,2022 Field Goals Made 50+,2022 Field Goals Attempted,2022 Field Goals Made,2022 Extra Points Attempted,2022 Extra Points Made,2022 Total Yards Allowed,2022 Total Plays,2022 Takeaways,2022 First Downs Allowed,2022 Passing Yards Allowed,2022 Passing Touchdowns Allowed,2022 Rushing Yards Allowed,2022 Rushing Touchdowns Allowed,2022 Penalties Committed,2022 Penalty Yards,2022 First Downs by Penalty,2022 Percent Drives Scored On,2022 Percent Drives Takeaway,2022 ST_Sacks,2022 ST_Interceptions,2022 ST_Fumble Recoveries,2022 ST_Forced Fumbles,2022 ST_Safeties,2022 ST_Special Teams Touchdowns,2022 Fantasy Points From Points,2022 XP2,2022 ESPN ADP,2022 Sleeper ADP,2022 NFL ADP,2022 RTSports ADP,2022 Average ADP,2022 Positional ADP,2022 PPR Fantasy Points Scored,2022 Standard Fantasy Points Scored,2023 Age,2023 Position,2023 Team,2023 Games Played,2023 Games Started,2023 Passing Attempts,2023 Passing Completions,2023 Passing Yards,2023 Passing Touchdowns,2023 Interceptions Thrown,2023 Rushing Attempts,2023 Rushing Yards,2023 Rushing Touchdowns,2023 Targets,2023 Receptions,2023 Receiving Yards,2023 Receiving Touchdowns,2023 Fumbles,2023 Field Goals Attempted 0-39,2023 Field Goals Made 0-39,2023 Field Goals Attempted 40-49,2023 Field Goals Made 40-49,2023 Field Goals Attempted 50+,2023 Field Goals Made 50+,2023 Field Goals Attempted,2023 Field Goals Made,2023 Extra Points Attempted,2023 Extra Points Made,2023 Total Yards Allowed,2023 Total Plays,2023 Takeaways,2023 First Downs Allowed,2023 Passing Yards Allowed,2023 Passing Touchdowns Allowed,2023 Rushing Yards Allowed,2023 Rushing Touchdowns Allowed,2023 Penalties Committed,2023 Penalty Yards,2023 First Downs by Penalty,2023 Percent Drives Scored On,2023 Percent Drives Takeaway,2023 ST_Sacks,2023 ST_Interceptions,2023 ST_Fumble Recoveries,2023 ST_Forced Fumbles,2023 ST_Safeties,2023 ST_Special Teams Touchdowns,2023 Fantasy Points From Points,2023 XP2,2023 ESPN ADP,2023 Sleeper ADP,2023 NFL ADP,2023 RTSports ADP,2023 Average ADP,2023 Positional ADP,2023 PPR Fantasy Points Scored,2023 Standard Fantasy Points Scored,2024 Age,2024 Position,2024 Team,2024 Games Played,2024 Games Started,2024 Passing Attempts,2024 Passing Completions,2024 Passing Yards,2024 Passing Touchdowns,2024 Interceptions Thrown,2024 Rushing Attempts,2024 Rushing Yards,2024 Rushing Touchdowns,2024 Targets,2024 Receptions,2024 Receiving Yards,2024 Receiving Touchdowns,2024 Fumbles,2024 Field Goals Attempted 0-39,2024 Field Goals Made 0-39,2024 Field Goals Attempted 40-49,2024 Field Goals Made 40-49,2024 Field Goals Attempted 50+,2024 Field Goals Made 50+,2024 Field Goals Attempted,2024 Field Goals Made,2024 Extra Points Attempted,2024 Extra Points Made,2024 Total Yards Allowed,2024 Total Plays,2024 Takeaways,2024 First Downs Allowed,2024 Passing Yards Allowed,2024 Passing Touchdowns Allowed,2024 Rushing Yards Allowed,2024 Rushing Touchdowns Allowed,2024 Penalties Committed,2024 Penalty Yards,2024 First Downs by Penalty,2024 Percent Drives Scored On,2024 Percent Drives Takeaway,2024 ST_Sacks,2024 ST_Interceptions,2024 ST_Fumble Recoveries,2024 ST_Forced Fumbles,2024 ST_Safeties,2024 ST_Special Teams Touchdowns,2024 Fantasy Points From Points,2024 XP2,2024 ESPN ADP,2024 Sleeper ADP,2024 NFL ADP,2024 RTSports ADP,2024 Average ADP,2024 Positional ADP,2024 PPR Fantasy Points Scored,2024 Standard Fantasy Points Scored
Cody White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,WR,PIT,15.0,0.0,,,,,,0.0,0.0,0.0,6.0,5.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,3.3,24.0,WR,PIT,1.0,1.0,,,,,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,WR,SEA,4.0,0.0,,,,,,0.0,0.0,0.0,3.0,2.0,44.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.0,,830.0,203.0,6.4,4.4
Colby Parkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,TE,SEA,6.0,0.0,,,,,,0.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.6,22.0,TE,SEA,14.0,1.0,,,,,,0.0,0.0,0.0,8.0,5.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,3.3,23.0,TE,SEA,17.0,2.0,,,,,,0.0,0.0,0.0,34.0,25.0,322.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,69.2,44.2,24.0,TE,SEA,17.0,1.0,,,,,,0.0,0.0,0.0,34.0,25.0,247.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,,,,362.0,62.0,61.7,36.7,25.0,TE,LAR,17.0,9.0,,,,,,0.0,0.0,0.0,49.0,30.0,294.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,294.0,235.0,257.7,31.0,65.4,35.4
Colby Wadman,23.0,K,DEN,12.0,0.0,1.0,1.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24.0,K,DEN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,29.0,WR,DAL,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,65.0,672.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,248.0,85.0,150.2,85.2,30.0,WR,BUF,15.0,10.0,,,,,,0.0,0.0,0.0,106.0,67.0,778.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,191.0,,215.0,180.0,201.2,61.0,184.8,117.8,31.0,WR,BUF,15.0,10.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,107.0,82.0,967.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,,,205.0,211.3,70.0,207.5,125.5,32.0,WR,BUF,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,82.0,693.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,133.0,159.0,169.0,138.0,143.8,53.0,157.3,75.3,33.0,WR,2TM,4.0,1.0,,,,,,0.0,0.0,0.0,7.0,6.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,9.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Fotheringham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,TE,LVR,2.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0,1.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,TE,CHI,16.0,9.0,,,,,,1.0,-3.0,0.0,44.0,28.0,243.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,288.0,281.0,39.0,62.0,34.0,22.0,TE,CHI,17.0,17.0,,,,,,1.0,0.0,0.0,93.0,60.0,612.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,186.0,187.0,188.0,187.4,22.0,121.2,61.2,23.0,TE,CHI,17.0,17.0,,,,,,2.0,9.0,0.0,69.0,50.0,544.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,116.0,143.0,113.0,121.8,12.0,145.3,95.3,24.0,TE,CHI,17.0,17.0,,,,,,3.0,2.0,0.0,90.0,73.0,719.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,119.0,139.0,155.0,129.5,13.0,179.1,106.1,25.0,TE,CHI,17.0,16.0,,,,,,0.0,0.0,0.0,55.0,47.0,474.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,164.0,121.0,145.0,142.0,141.0,16.0,120.4,73.4
Cole Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,TE,WAS,10.0,2.0,,,,,,0.0,0.0,0.0,9.0,2.0,23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,4.3,2.3,23.0,TE,WAS,12.0,1.0,,,,,,0.0,0.0,0.0,15.0,11.0,120.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,,,,417.0,68.0,23.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Wick,25.0,TE,SFO,5.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,TE,CAR,15.0,4.0,,,,,,0.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.7,28.0,TE,CAR,11.0,2.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,WR,JAX,14.0,0.0,,,,,,0.0,0.0,0.0,31.0,18.0,272.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,,,,468.0,144.0,57.2,39.2,24.0,WR,NYG,12.0,1.0,,,,,,0.0,0.0,0.0,21.0,11.0,105.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,WR,CHI,3.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0,2.1,1.1,27.0,WR,CHI,9.0,0.0,,,,,,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,,648.0,183.0,1.6,0.6
Colt McCoy,32.0,QB,WAS,3.0,2.0,54.0,34.0,372.0,3.0,3.0,10.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.18,25.18,33.0,QB,WAS,1.0,1.0,27.0,18.0,122.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.0,,,,945.0,69.0,0.28,0.28,34.0,QB,NYG,4.0,2.0,66.0,40.0,375.0,1.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,,,,345.0,46.0,16.2,16.2,35.0,QB,ARI,8.0,3.0,99.0,74.0,740.0,3.0,1.0,22.0,37.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,35.3,36.0,QB,ARI,4.0,3.0,132.0,90.0,780.0,1.0,3.0,14.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,28.8,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colton Dowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,WR,TEN,10.0,1.0,,,,,,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,TE,PIT,17.0,0.0,,,,,,2.0,27.0,0.0,17.0,12.0,151.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,35.8,23.8,24.0,TE,PIT,17.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,23.0,167.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,,,,257.0,34.0,39.7,16.7,25.0,TE,PIT,17.0,5.0,,,,,,0.0,0.0,0.0,8.0,6.0,40.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,,374.0,,320.0,42.0,16.0,10.0
Cooper Kupp,25.0,WR,LAR,8.0,8.0,,,,,,4.0,25.0,0.0,55.0,40.0,566.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,91.0,85.0,33.0,135.1,95.1,26.0,WR,LAR,16.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,134.0,94.0,1161.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,57.0,47.0,49.0,21.0,264.5,170.5,27.0,WR,LAR,15.0,12.0,,,,,,4.0,33.0,0.0,124.0,92.0,974.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,33.0,38.0,14.0,208.7,116.7,28.0,WR,LAR,17.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,191.0,145.0,1947.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,46.0,53.0,43.0,46.0,17.0,437.5,292.5,29.0,WR,LAR,9.0,9.0,1.0,0.0,0.0,0.0,0.0,9.0,52.0,1.0,98.0,75.0,812.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,3.0,5.0,4.0,1.0,199.4,124.4,30.0,WR,LAR,12.0,12.0,,,,,,1.0,-3.0,0.0,95.0,59.0,737.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,15.0,5.0,21.0,13.8,7.0,164.4,105.4,31.0,WR,LAR,12.0,11.0,,,,,,2.0,10.0,0.0,100.0,67.0,710.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,39.0,26.0,32.0,34.8,18.0,173.0,106.0
Cooper Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,QB,DAL,5.0,1.0,47.0,30.0,422.0,3.0,1.0,9.0,-8.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.08,24.08,29.0,QB,DAL,9.0,5.0,162.0,94.0,1051.0,5.0,3.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,52.64,52.64,30.0,QB,DAL,7.0,0.0,24.0,18.0,144.0,0.0,1.0,12.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,,,,290.0,40.0,3.26,3.26,31.0,QB,DAL,12.0,8.0,308.0,187.0,1844.0,12.0,5.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,411.0,,359.0,45.0,95.56,95.56
