
Test Set Performance:
R^2: 0.577
RMSE: 55.6


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Lamar Jackson | QB       | BAL  | 302.7
   2 | Jalen Hurts | QB       | PHI  | 293.7
   3 | Patrick Mahomes | QB       | KAN  | 291.4
   4 | Josh Allen  | QB       | BUF  | 279.9
   5 | Justin Herbert | QB       | LAC  | 279.0
   6 | Joe Burrow  | QB       | CIN  | 267.3
   7 | Tyreek Hill | WR       | MIA  | 265.7
   8 | CeeDee Lamb | WR       | DAL  | 261.5
   9 | Jared Goff  | QB       | DET  | 254.3
  10 | Amon-Ra St. Brown | WR       | DET  | 246.7
  11 | Jaxon Smith-Njigba | WR       | SEA  | 240.9
  12 | Brock Purdy | QB       | SFO  | 240.7
  13 | Jahmyr Gibbs | RB       | DET  | 240.5
  14 | James Cook  | RB       | BUF  | 240.4
  15 | Garrett Wilson | WR       | NYJ  | 236.4
  16 | Josh Jacobs | RB       | GNB  | 234.5
  17 | Justin Jefferson | WR       | MIN  | 230.1
  18 | Davante Adams | WR       | 2TM  | 226.5
  19 | Ja'Marr Chase | WR       | CIN  | 224.1
  20 | A.J. Brown  | WR       | PHI  | 223.7
